accession,correct,genus,strain_name,location,virus_name,isolation_source,host,isolation_date,lab_culture,wastewater_sewage,standardized_host,host_category,standardized_location,zoonotic,processing_method,gemini_annotated,is_segmented,segment_label,manual_update
NC_030290.1,TRUE,Flaviviridae,502-13,"USA: Willington, Connecticut",Culiseta flavivirus,pool of 20 female mosquitoes,non-human,06-Jun-2013,FALSE,FALSE,Culiseta melanura,Insect,"Willington, Connecticut, USA",FALSE,ai,TRUE,FALSE,,
MH880292.1,TRUE,Thogotovirus,MO-2013-2499,USA: Missouri,Bourbon virus,pool of 25 nymphs,non-human,Mar-2013,TRUE,FALSE,Amblyomma americanum,Insect,"Missouri, USA",TRUE,ai,TRUE,TRUE,6,
NC_078588.1,TRUE,Thogotovirus,MO-2013-2499,USA: Missouri,Bourbon virus,pool of 25 nymphs,non-human,Mar-2013,TRUE,FALSE,Amblyomma americanum,Other,"Missouri, USA",TRUE,ai,TRUE,TRUE,3,
OP921098.1,TRUE,Jingmenvirus group,GR_RM/Switzerland/2022,Switzerland: Grisons,Alongshan virus,pool of 60 male adult ticks,non-human,May-2022,FALSE,FALSE,Ixodes ricinus,Insect,"Grisons, Switzerland",FALSE,ai,TRUE,TRUE,3,
NC_076932.1,TRUE,Sunrhavirus,0408RCA,Central African Republic: (Landjia),Sandjimba virus,Pool of crushed organs,non-human,21-Jan-1970,FALSE,FALSE,Acrocephalus schoenbaeus,Avian,"Landjia, Central African Republic",TRUE,ai,TRUE,FALSE,,
NC_024507.1,TRUE,Orbivirus,USA1969/01,USA,Umatilla virus,pool of Culex pipiens mosquitoes,non-human,Jul-1969,FALSE,FALSE,Aves,Avian,USA,TRUE,ai,TRUE,TRUE,5,
NC_024510.1,TRUE,Orbivirus,USA1969/01,USA,Umatilla virus,pool of Culex pipiens mosquitoes,non-human,Jul-1969,FALSE,FALSE,bird,Avian,,TRUE,ai,TRUE,TRUE,8,
NC_040669.1,TRUE,Ohlsrhavirus,RISV-Drava 1,Hungary,Riverside virus 1,pooled mosquitoes,non-human,2014,FALSE,FALSE,Ochlerotatus sp.,Insect,"Unknown, Hungary",TRUE,ai,TRUE,FALSE,,
OL472130.1,TRUE,Betanucleorhabdovirus,BOL20SW,Slovenia,Picris betanucleorhabdovirus 1,pooled weed plants gathered at the immediate surroundings of tomato farms,non-human,Aug-2020,FALSE,FALSE,,Plant,Slovenia,FALSE,ai,TRUE,FALSE,,
GU117621.1,TRUE,Omikronpapillomavirus,,United Kingdom,Phocoena phocoena papillomavirus 1,prepuce lesion of male harbor porpoise,non-human,01-Jan-2002,FALSE,FALSE,Phocoena phocoena,Mammal,"Unknown, United Kingdom",FALSE,ai,TRUE,FALSE,,
KU936049.1,TRUE,Varicellovirus,b6,Australia,Bubaline alphaherpesvirus 1,prepuce of buffalo,non-human,1972,FALSE,FALSE,Bubalus bubalis,Mammal,Australia,FALSE,ai,TRUE,FALSE,,
KY341899.1,TRUE,Betapolyomavirus,R006926 CT2015,USA,Betapolyomavirus canis,respiratory swab,non-human,2015,FALSE,FALSE,Canis familiaris,Mammal,,FALSE,ai,TRUE,FALSE,,
MW897328.1,TRUE,Pegivirus,XZS,China,Phaiomys leucurus pegivirus,respiratory tract,non-human,Apr-2018,FALSE,FALSE,Neodon leucurus,Mammal,China,FALSE,ai,TRUE,FALSE,,
NC_077123.1,TRUE,Thriprhavirus,JM1FY86115,China,Frankliniella intonsa rhabdovirus 1,Rice Field,non-human,07-Sep-2016,FALSE,FALSE,Frankliniella intonsa,Insect,"China, China",FALSE,ai,TRUE,FALSE,,
MZ209687.1,TRUE,Rhabdoviridae,HLXXFY27,China,Hangzhou rhabdovirus 3,Rice Field,non-human,06-Sep-2016,FALSE,FALSE,Tetragnatha nitens,Insect,China,FALSE,ai,TRUE,FALSE,,
MZ209834.1,TRUE,Fijivirus,DFSLS,China,Nilaparvata lugens reovirus,Rice Field,non-human,05-Aug-2017,FALSE,FALSE,Nilaparvata lugens,Insect,China,FALSE,ai,TRUE,TRUE,4,
MZ209624.1,TRUE,Fijivirus,FSFY,China,Nilaparvata lugens reovirus,Rice Field,non-human,07-Sep-2016,FALSE,FALSE,Nilaparvata lugens,Insect,,FALSE,ai,TRUE,TRUE,2,
MZ209630.1,TRUE,Fijivirus,FSFY,China,Nilaparvata lugens reovirus,Rice Field,non-human,06-Sep-2016,FALSE,FALSE,Nilaparvata lugens,Insect,China,FALSE,ai,TRUE,TRUE,9,
MZ209983.1,TRUE,Orthoflavivirus,BBFSFS65,China,Fushun flavivirus 2,Rice Field,non-human,20-Sep-2017,FALSE,FALSE,Sogatella furcifera,Insect,China,FALSE,ai,TRUE,FALSE,,
NC_026473.1,TRUE,Betapolyomavirus,French,France,Meles meles polyomavirus 1,salivary gland,non-human,Apr-2014,FALSE,FALSE,Meles meles,Mammal,France,FALSE,ai,TRUE,FALSE,,
KP644238.1,TRUE,Betapolyomavirus,French,France,Meles meles polyomavirus 1,salivary gland,non-human,Apr-2014,FALSE,FALSE,Meles meles,Mammal,"undefined, France",FALSE,ai,TRUE,FALSE,,
OM030319.1,TRUE,Pestivirus,SYS_SheQu,China,Jingmen Crocidura shantungensis pestivirus 1,samples from Crocidura shantungensis,non-human,2016,FALSE,FALSE,Crocidura shantungensis,Mammal,"Unknown, China",FALSE,ai,TRUE,FALSE,,
OM030299.1,TRUE,Orthohepadnavirus,YJB_DanJiao,China,Wenzhou Rhinolophus pusillus orthohepadnavirus 1,samples from Rhinolophus pusillus,non-human,2016,FALSE,FALSE,Rhinolophus pusillus,Mammal,"Zhejiang, China",TRUE,ai,TRUE,FALSE,,
MN873631.1,TRUE,Orbivirus,NN23LRO17,Romania: Danube Delta,Letea virus,serum,non-human,,FALSE,FALSE,Natrix natrix,Reptile,"Danube Delta, Romania",FALSE,ai,TRUE,TRUE,9,
MN873615.1,TRUE,Orbivirus,NN16DUV16,Romania: Danube Delta,Letea virus,serum,non-human,,FALSE,FALSE,Natrix natrix,Reptile,"Danube Delta, Romania",FALSE,ai,TRUE,TRUE,3,
MW809725.1,TRUE,Alphavirus,FG2011,French Guiana,Tonate virus,serum,non-human,2011,FALSE,FALSE,Trachops cirrhosus,Mammal,French Guiana,FALSE,ai,TRUE,FALSE,,
MN873689.1,TRUE,Orbivirus,NN04LRO16,Romania: Danube Delta,Letea virus,serum,non-human,,FALSE,FALSE,Natrix natrix,Reptile,"Danube Delta, Romania",FALSE,ai,TRUE,TRUE,7,
MN873614.1,TRUE,Orbivirus,NN16DUV16,Romania: Danube Delta,Letea virus,serum,non-human,,FALSE,FALSE,Natrix natrix,Reptile,"Danube Delta, Romania",FALSE,ai,TRUE,TRUE,2,
MZ393518.1,TRUE,Hepacivirus,CO-09/924,Mexico,Ringtail hepacivirus,serum,non-human,22-Nov-2018,FALSE,FALSE,Bassariscus astutus,Mammal," , Mexico",TRUE,ai,TRUE,FALSE,,
MN873683.1,TRUE,Orbivirus,NN04LRO16,Romania: Danube Delta,Letea virus,serum,non-human,,FALSE,FALSE,Natrix natrix,Reptile,"Danube Delta, Romania",FALSE,ai,TRUE,TRUE,1,
MN873611.1,TRUE,Orbivirus,NN14LEA16,Romania: Danube Delta,Letea virus,serum,non-human,,FALSE,FALSE,Natrix natrix,Reptile,"Danube Delta, Romania",FALSE,ai,TRUE,TRUE,9,
MN873651.1,TRUE,Orbivirus,NN26SUL16,Romania: Danube Delta,Letea virus,serum,non-human,,FALSE,FALSE,Natrix natrix,Reptile,"Danube Delta, Romania",TRUE,ai,TRUE,TRUE,9,
MN873655.1,TRUE,Orbivirus,NN27SUL16,Romania: Danube Delta,Letea virus,serum,non-human,,FALSE,FALSE,Natrix natrix,Reptile,"Danube Delta, Romania",FALSE,ai,TRUE,TRUE,3,
MN873673.1,TRUE,Orbivirus,NN36DUV16,Romania: Danube Delta,Letea virus,serum,non-human,,FALSE,FALSE,Natrix natrix,Reptile,"Danube Delta, Romania",FALSE,ai,TRUE,TRUE,1,
MN873678.1,TRUE,Orbivirus,NN36DUV16,Romania: Danube Delta,Letea virus,serum,non-human,,FALSE,FALSE,Natrix natrix,Reptile,"Danube Delta, Romania",TRUE,ai,TRUE,TRUE,6,
MN873634.1,TRUE,Orbivirus,NN25LRO17,Romania: Danube Delta,Letea virus,serum,non-human,,FALSE,FALSE,Natrix natrix,Reptile,"Danube Delta, Romania",FALSE,ai,TRUE,TRUE,2,
MN873604.1,TRUE,Orbivirus,NN14LEA16,Romania: Danube Delta,Letea virus,serum,non-human,,FALSE,FALSE,Natrix natrix,Reptile,"Danube Delta, Romania",FALSE,ai,TRUE,TRUE,2,
ON811708.1,TRUE,Flaviviridae,TIGMIC_7,China:Hebei,Flaviviridae sp.,sheep,non-human,2019,FALSE,FALSE,Dermacentor silvarum,Insect,"Hebei, China",TRUE,ai,TRUE,FALSE,,
KX857216.1,TRUE,Avipoxvirus,SWPV-1,Australia,Shearwaterpox virus,skin and blood,non-human,2016,FALSE,FALSE,Ardenna carneipes,Avian,Australia,FALSE,ai,TRUE,FALSE,,
MH049343.1,TRUE,Papillomaviridae,BS 2017,Switzerland,Okapia johnstoni papillomavirus 1,skin biopsy,non-human,20-Sep-2017,FALSE,FALSE,Okapia johnstoni,Mammal,Switzerland,FALSE,ai,TRUE,FALSE,,
KF741371.1,TRUE,Dyochipapillomavirus,Asinara,Italy,Equus asinus papillomavirus 1,skin biopsy,non-human,2013,FALSE,FALSE,Equus asinus,Mammal,"Unknown, Italy",FALSE,ai,TRUE,FALSE,,
LC704675.1,TRUE,Papillomaviridae,AaPV-1,Japan,Four-toed hedgehog papillomavirus,skin lesions,non-human,2021-11-06,FALSE,FALSE,Atelerix albiventris,Mammal,"Japan, Japan",TRUE,ai,TRUE,FALSE,,
MT646045.1,TRUE,Atadenovirus,JL-EDSV-629,China,Duck atadenovirus A,small intestine,non-human,29-Jun-2018,FALSE,FALSE,Anser anser,Avian,"Unknown, China",TRUE,ai,TRUE,FALSE,,
NC_028122.1,TRUE,Betapolyomavirus,AT7,French Guiana,bat polyomavirus 2a,spleen,non-human,01-Jan-2011,FALSE,FALSE,Desmodus rotundus,Mammal,French Guiana,TRUE,ai,TRUE,FALSE,,
MK671088.1,TRUE,Alphapolyomavirus,10271_CE559D,Italy,Alphapolyomavirus callosciuri,spleen,non-human,,FALSE,FALSE,Callosciurus erythraeus,Mammal,Italy,FALSE,ai,TRUE,FALSE,,
NC_024306.1,TRUE,Simplexvirus,,"Indonesia: Gorontaro, Paguyaman",Pteropodid alphaherpesvirus 1,spleen,non-human,2011-02,FALSE,FALSE,Pteropus sp.,Mammal,"Gorontaro, Indonesia",TRUE,ai,TRUE,FALSE,,
OQ847477.1,TRUE,Orbivirus,OV1049_FL_BTV1,USA,Bluetongue virus,spleen,non-human,2019,FALSE,FALSE,Odocoileus virginianus,Mammal,USA,TRUE,ai,TRUE,TRUE,3,
MK671096.1,TRUE,Betapolyomavirus,9982_KS18/1716,United Kingdom,Sciurus carolinensis polyomavirus 1,spleen,non-human,,FALSE,FALSE,Sciurus carolinensis,Mammal,,FALSE,ai,TRUE,FALSE,,
PP896807.1,TRUE,Orbivirus,OV1774_FL_BTV3,USA,Bluetongue virus,spleen,non-human,2022,FALSE,FALSE,Odocoileus virginianus,Mammal,USA,TRUE,ai,TRUE,TRUE,6,
OK546094.1,TRUE,Protoparvovirus,NWT-W25,Canada: Northwest Territories,Protoparvovirus carnivoran3,spleen,non-human,2011,FALSE,FALSE,Canis lupus,Mammal,"Northwest Territories, Canada",TRUE,ai,TRUE,FALSE,,
NC_028121.1,TRUE,Betapolyomavirus,R266,French Guiana,bat polyomavirus 2b,spleen,non-human,01-Jan-2011,FALSE,FALSE,Pteronotus parnellii,Mammal,French Guiana,TRUE,ai,TRUE,FALSE,,
PP896808.1,TRUE,Orbivirus,OV1774_FL_BTV3,USA,Bluetongue virus,spleen,non-human,2022,FALSE,FALSE,Odocoileus virginianus,Mammal,USA,TRUE,ai,TRUE,TRUE,7,
OQ847481.1,TRUE,Orbivirus,OV1049_FL_BTV1,USA,Bluetongue virus,spleen,non-human,2019,FALSE,FALSE,Odocoileus virginianus,Mammal,"null, USA",TRUE,ai,TRUE,TRUE,7,
NC_038556.1,TRUE,Alphapolyomavirus,A504,French Guiana,Alphapolyomavirus tertarplanisrostris,spleen,non-human,01-Jan-2011,FALSE,FALSE,Artibeus planirostris,Mammal,French Guiana,FALSE,ai,TRUE,FALSE,,
NC_055164.1,TRUE,Alphapolyomavirus,GER_#7607_MU10/2265,Germany,Sorex minutus polyomavirus 1,spleen of pygmy shrew,non-human,,FALSE,FALSE,Sorex minutus,Mammal,"Unknown, Germany",FALSE,ai,TRUE,FALSE,,
PP134851.1,TRUE,Mastadenovirus,,USA,Rhesus adenovirus 71,stool,non-human,,FALSE,FALSE,Macaca mulatta,Mammal,", USA",FALSE,ai,TRUE,FALSE,,
PP134852.1,TRUE,Mastadenovirus,,USA,Rhesus adenovirus 72,stool,non-human,,FALSE,FALSE,Macaca mulatta,Mammal,USA,TRUE,ai,TRUE,FALSE,,
ON812535.1,TRUE,Ledantevirus,TIGMIC_3,China:Guizhou,Longquan Niviventer coninga ledantevirus 1,swine,non-human,2019,FALSE,FALSE,Haemaphysalis hystricis,Other,"Guizhou, China",TRUE,ai,TRUE,FALSE,,
KM823531.1,TRUE,Betanucleorhabdovirus,,"Australia: Indooroopilly, Queensland",Datura yellow vein nucleorhabdovirus,symptomatic leaves,non-human,,FALSE,FALSE,Thunbergia alata,Plant,"Indooroopilly, Australia",FALSE,ai,TRUE,FALSE,,
PP429910.1,TRUE,Dichorhavirus,6978,United Kingdom,Dichorhavirus orchidaceae,symptomatic plant,non-human,2018,FALSE,FALSE,Dendrochilum magnum,Plant,"United Kingdom, United Kingdom",FALSE,ai,TRUE,TRUE,RNA2,
DQ407243.1,TRUE,Alphainfluenzavirus,A/little grebe/Thailand/Phichit-01/2004,Thailand,Influenza A virus (A/little grebe/Thailand/Phichit-01/2004(H5N1)),Tachybaptus ruficollis (little grebe),non-human,,FALSE,FALSE,Tachybaptus ruficollis,Avian,Thailand,TRUE,ai,TRUE,TRUE,1,
MT360992.1,TRUE,Enterovirus,No.2,Taiwan,Enterovirus A71,throat swab,human,2008,FALSE,FALSE,Homo sapiens,Mammal,Taiwan,TRUE,ai,TRUE,FALSE,,
MT360996.1,FALSE,Enterovirus,No.23,Taiwan,Enterovirus A71,throat swab,non-human,2008,FALSE,FALSE,,Other,"null, Taiwan",TRUE,ai,TRUE,FALSE,,
MT360984.1,FALSE,Enterovirus,F1,Taiwan,Enterovirus A71,throat swab,non-human,2008,FALSE,FALSE,,Other,Taiwan,TRUE,ai,TRUE,FALSE,,
MK309362.1,TRUE,Orthoflavivirus,MeW17-228,"USA: Wells, ME",Powassan virus,tick,non-human,2017,FALSE,FALSE,Ixodes scapularis,Insect,"Wells, USA",TRUE,ai,TRUE,FALSE,,
PP278987.1,TRUE,Orbivirus,EgAn 1169-61,Russia,Kemerovo virus,tick found on Homo sapiens,non-human,1962,TRUE,FALSE,Ixodes,Insect,Russia,TRUE,ai,TRUE,TRUE,9,
PP278979.1,TRUE,Orbivirus,EgAn 1169-61,Russia,Kemerovo virus,tick found on Homo sapiens,non-human,1962,TRUE,FALSE,Ixodes,Insect,"Unknown, Russia",TRUE,ai,TRUE,TRUE,9,
OK500099.1,TRUE,Quaranjavirus,EgAr1095,Egypt,Quaranjavirus quaranfilense,tick pool,non-human,1953,FALSE,FALSE,Argas arboreus,Insect,Egypt,TRUE,ai,TRUE,TRUE,1,
OK500100.1,TRUE,Quaranjavirus,EgAr1095,Egypt,Quaranjavirus quaranfilense,tick pool,non-human,1953,FALSE,FALSE,Argas arboreus,Other,"Unknown, Egypt",TRUE,ai,TRUE,TRUE,2,
MK516256.1,TRUE,Gammapolyomavirus,KAPV-1443,South Korea,Gammapolyomavirus avis,tissue,non-human,2014,FALSE,FALSE,Psittacula eupatria,Avian,,FALSE,ai,TRUE,FALSE,,
OM640121.1,TRUE,Gammapolyomavirus,CBNU_APyV_5,South Korea,Gammapolyomavirus avis,tissue,non-human,23-Apr-2019,FALSE,FALSE,Psittacula krameri,Avian,"Unknown, South Korea",FALSE,ai,TRUE,FALSE,,
OL982749.1,TRUE,Proboscivirus,North American NAP58 Tucker,USA: Texas,Elephant endotheliotropic herpesvirus 5B,trunk wash sample (BH780) from an asymptomatic six year old captive-born male elephant,non-human,2011,FALSE,FALSE,Elephas maximus,Mammal,"Texas, USA",FALSE,ai,TRUE,FALSE,,
AB198953.1,TRUE,Betapolyomavirus,MU-4,Mauritius,JC polyomavirus,urine,human,,FALSE,FALSE,Homo sapiens,Mammal,Mauritius,TRUE,ai,TRUE,FALSE,,
LC492974.1,TRUE,Simplexvirus,,Viet Nam,pteropodid alphaherpesvirus 2,urine,non-human,,FALSE,FALSE,Pteropus lylei,Mammal,"Unknown, Viet Nam",TRUE,ai,TRUE,FALSE,,
NC_037059.1,TRUE,Papillomaviridae,12975,Antarctica,Leptonychotes weddellii papillomavirus 5,vaginal swab,non-human,24-Nov-2016,FALSE,FALSE,Leptonychotes weddellii,Mammal,"null, Antarctica",FALSE,ai,TRUE,FALSE,,
MG571090.1,TRUE,Papillomaviridae,13241,Antarctica,Leptonychotes weddellii papillomavirus 1,vaginal swab,non-human,19-Nov-2014,FALSE,FALSE,Leptonychotes weddellii,Mammal,Antarctica,FALSE,ai,TRUE,FALSE,,
MG571092.1,TRUE,Papillomaviridae,17629,Antarctica,Leptonychotes weddellii papillomavirus 7,vaginal swab,non-human,19-Jan-2017,FALSE,FALSE,Leptonychotes weddellii,Mammal,Antarctica,FALSE,ai,TRUE,FALSE,,
MT072323.1,TRUE,Leporipoxvirus,MYXV_tol_Lag04_V,Spain: Ciudad Real,Myxoma virus,vaginal tissue,non-human,Sep-2018,FALSE,FALSE,Lepus granatensis,Mammal,"Ciudad Real, Spain",TRUE,ai,TRUE,FALSE,,
OR026179.1,TRUE,Densovirinae,New Jersey 2-molitor,USA,Zophobas morio black wasting virus,whole larva,non-human,May-2022,FALSE,FALSE,Tenebrio molitor,Insect,,FALSE,ai,TRUE,FALSE,,
OR026174.1,TRUE,Densovirinae,Indiana-morio,USA,Zophobas morio black wasting virus,whole larva,non-human,Mar-2023,FALSE,FALSE,Zophobas morio,Insect,"Unknown, USA",FALSE,ai,TRUE,FALSE,,
KX905136.2,TRUE,Macavirus,WC11,Kenya,Alcelaphine gammaherpesvirus 1,wildebeest calf leukocytes,non-human,1964,FALSE,FALSE,Connochaetes taurinus taurinus,Mammal,Kenya,FALSE,ai,TRUE,FALSE,,
OR515689.1,TRUE,Betapaprhavirus,X-,USA,Spodoptera frugiperda rhabdovirus,,non-human,02-Dec-2016,FALSE,FALSE,Spodoptera frugiperda,Insect,", USA",FALSE,ai,TRUE,FALSE,,
MF143318.2,TRUE,Lyssavirus,NY.2010.2456,"USA: Niagra, Niagara, NY",Lyssavirus rabies,,non-human,23-Jun-2014,FALSE,FALSE,Procyon lotor,Mammal,"Niagra, USA",TRUE,ai,TRUE,FALSE,,
ON059825.1,TRUE,Copiparvovirus,P187T/pangolin/2018,,Copiparvovirus P187T/pangolin/2018,,non-human,2018,FALSE,FALSE,Manis javanica,Mammal,,TRUE,ai,TRUE,FALSE,,
KJ469582.1,TRUE,Alphavirus,EEEV/Culiseta/USA/14265/2003,USA: Connecticut,Eastern equine encephalitis virus,,non-human,2003,FALSE,FALSE,Culiseta,Insect,"Connecticut, USA",TRUE,ai,TRUE,FALSE,,
ON986444.1,TRUE,Lyssavirus,18_342,"USA: Tolland,CT",Lyssavirus rabies,,non-human,21-Feb-2018,FALSE,FALSE,Procyon lotor,Mammal,"Tolland, USA",TRUE,ai,TRUE,FALSE,,
MG457471.1,TRUE,Orthohepadnavirus,Jiyuan-Rpu-94,China,Bat Hepatitis B virus,,non-human,2015,FALSE,FALSE,Rhinolophus pusillus,Mammal,,TRUE,ai,TRUE,FALSE,,
MK007551.1,TRUE,Orthoflavivirus,SCO_369/T2_1963,United Kingdom: Scotland,Louping ill virus,,non-human,1963,FALSE,FALSE,Ixodes ricinus,Insect,"Scotland, United Kingdom",TRUE,ai,TRUE,FALSE,,
AF465518.1,TRUE,Enterovirus,Cornelis,,Echovirus E2,,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,FALSE,,
DQ997410.1,TRUE,Alphainfluenzavirus,A/duck/Zhejiang/bj/2002,China,Influenza A virus (A/duck/Zhejiang/bj/2002(H5N1)),,non-human,,FALSE,FALSE,Unknown,Avian,"Unknown, China",TRUE,ai,TRUE,TRUE,4,
MH376689.1,TRUE,Papillomaviridae,AZ-SWCC-2016,USA,Erethizon dorsatum papillomavirus 2,,non-human,2016,FALSE,FALSE,Erethizon dorsatum,Mammal,"null, USA",FALSE,ai,TRUE,FALSE,,
KF155003.1,TRUE,Lyssavirus,RV20,Denmark,European bat lyssavirus 1,,non-human,1986,FALSE,FALSE,Eptesicus serotinus,Mammal,"Denmark, Denmark",TRUE,ai,TRUE,FALSE,,
MT130101.1,TRUE,Deltapapillomavirus,NMS2,Egypt,Camelus dromedarius papillomavirus 1,,non-human,2018,FALSE,FALSE,Camelus dromedarius,Mammal,Egypt,FALSE,ai,TRUE,FALSE,,
MW874084.1,TRUE,Coltivirus,Heverlee,Belgium,Eyach virus,,non-human,15-Jun-2017,FALSE,FALSE,Ixodes ricinus,Insect,"null, Belgium",TRUE,ai,TRUE,TRUE,4,
MF143363.2,TRUE,Lyssavirus,QC.2008.1411,"Canada: Sutton, Brome-Missisquoi, QC",Lyssavirus rabies,,non-human,15-Apr-2008,FALSE,FALSE,Procyon lotor,Mammal,"Sutton, Canada",TRUE,ai,TRUE,FALSE,,
OM471660.1,TRUE,Aphthovirus,Asia1/PAK/ICT/271/2012,Pakistan: Islamabad,Foot-and-mouth disease virus Asia 1,,non-human,2012,FALSE,FALSE,Bubalus bubalis,Mammal,"Islamabad, Pakistan",TRUE,ai,TRUE,FALSE,,
KX000153.1,TRUE,Alphavirus,EEEV/Passerina cyanea/USA/US03-1977/2003,USA: New Jersey,Eastern equine encephalitis virus,,non-human,24-Sep-2003,TRUE,FALSE,Passerina cyanea,Avian,"New Jersey, USA",TRUE,ai,TRUE,FALSE,,
LR027543.1,FALSE,Enterovirus,STU546711|DEU08,,Enterovirus A71,,non-human,,FALSE,FALSE,Unknown,Other,"Unknown, Unknown",TRUE,ai,TRUE,FALSE,,
NC_005992.1,TRUE,Orbivirus,,,Palyam virus,,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,TRUE,9,
KY026428.1,TRUE,Lyssavirus,raccoon,Canada,Lyssavirus rabies,,non-human,19-Jan-2000,FALSE,FALSE,Procyon lotor,Mammal,Canada,TRUE,ai,TRUE,FALSE,,
HM543479.1,TRUE,Orbivirus,,Slovakia,Tribec virus,,non-human,,FALSE,FALSE,,,Slovakia,FALSE,ai,TRUE,TRUE,2,
AY848696.2,TRUE,Orthoflavivirus,385-99,,West Nile virus strain 385-99,,non-human,,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
MF939528.1,TRUE,Orbivirus,483,"Russia:, Vologda region",Kemerovo virus,,non-human,1975,TRUE,FALSE,Ixodes ricinus,Insect,"Vologda region, Russia",TRUE,ai,TRUE,TRUE,3,
LC426672.1,TRUE,Polyomaviridae,PyV14-NMC23,China,Miniopterus schreibersi polyomavirus 4,,non-human,2016,FALSE,FALSE,Miniopterus schreibersi,Mammal,,FALSE,ai,TRUE,FALSE,,
KX000112.1,TRUE,Alphavirus,EEEV/Culiseta melanura/USA/ARB06MS370122/2006,"USA: Oswego, NY",Eastern equine encephalitis virus,,non-human,17-Aug-2006,TRUE,FALSE,Culiseta melanura,Insect,"Oswego, USA",TRUE,ai,TRUE,FALSE,,
DQ997117.1,TRUE,Alphainfluenzavirus,A/chicken/Hubei/wj/1997,China,Influenza A virus (A/chicken/Hubei/wj/1997(H5N1)),,non-human,,FALSE,FALSE,Gallus gallus domesticus,Avian,"Unknown, China",TRUE,ai,TRUE,TRUE,8,
KC588376.1,TRUE,Aquareovirus,,,Green River chinook virus,,non-human,,FALSE,FALSE,,,,FALSE,ai,TRUE,TRUE,1,
MK783014.1,TRUE,Novirhabdovirus,TAVgr06-07,USA: Lake Erie,Viral hemorrhagic septicemia virus,,non-human,2006,FALSE,FALSE,Aplodinotus grunniens,Fish,"Lake Erie, USA",FALSE,ai,TRUE,FALSE,,
MH427217.1,TRUE,Mustelpoxvirus,ELK,USA,Sea otter poxvirus,,non-human,,FALSE,FALSE,Enhydra lutris kenyoni,Mammal,"Unknown, USA",FALSE,ai,TRUE,FALSE,,
OP913253.1,TRUE,Orthoreovirus,MLBC1313,China,Nelson Bay orthoreovirus,,non-human,2013,FALSE,FALSE,Eucampsipoda sundaica,Crustacean," , China",FALSE,ai,TRUE,TRUE,S2,
PP062928.1,TRUE,Iltovirus,LN2018,China,Gallid alphaherpesvirus 1,,non-human,2018,FALSE,FALSE,Gallus gallus domesticus,Avian,"Unknown, China",FALSE,ai,TRUE,FALSE,,
KX547324.1,TRUE,Orthoflavivirus,WNV-1/Culiseta sp./USA/13370539/2013,"USA: Oswego Co., NY",West Nile virus,,non-human,14-Aug-2013,TRUE,FALSE,Culiseta,Insect,"Oswego County, USA",TRUE,ai,TRUE,FALSE,,
KM262775.1,TRUE,Isavirus,901_09,Chile,Isavirus salaris,,non-human,,TRUE,FALSE,,Plant,"null, Chile",FALSE,ai,TRUE,TRUE,4,
MT134284.1,TRUE,Orthohepadnavirus,donkey13,Germany,Equine hepatitis B virus,,non-human,2008-04-05,FALSE,FALSE,Equus asinus,Mammal,"null, Germany",TRUE,ai,TRUE,FALSE,,
ON024105.1,TRUE,Pestivirus,PPeV/BIME7/P023T/pangolin/2018,China,Pangolin pestivirus,,non-human,2018,FALSE,FALSE,Manis javanica,Mammal,"China, China",TRUE,ai,TRUE,FALSE,,
KT819575.1,TRUE,Hepatovirus,KibOB-1,Uganda,Hepatovirus A,,non-human,14-Sep-2010,FALSE,FALSE,Papio anubis,Mammal,"null, Uganda",TRUE,ai,TRUE,FALSE,,
JN565944.1,TRUE,Avihepadnavirus,PL,Poland,Parrot hepatitis B virus,,non-human,,FALSE,FALSE,Psittacula krameri,Avian,Poland,TRUE,ai,TRUE,FALSE,,
LC717425.1,TRUE,Lyssavirus,ST1017,Thailand,Lyssavirus rabies,,non-human,1985,FALSE,FALSE,Canis familiaris,Mammal,Thailand,TRUE,ai,TRUE,FALSE,,
OM455466.1,TRUE,Aphthovirus,A/PAK/ICT/008-3/2012_pro,Pakistan: Islamabad Capital Territory,Foot-and-mouth disease virus A,,non-human,06-Mar-2012,FALSE,FALSE,Bubalus bubalis,Mammal,"Islamabad Capital Territory, Pakistan",TRUE,ai,TRUE,FALSE,,
MK537328.1,TRUE,Atadenovirus,D9809526,USA,Deer atadenovirus A,,non-human,Jan-1994,FALSE,FALSE,Odocoileus hemionus,Mammal,USA,FALSE,ai,TRUE,FALSE,,
KU955844.1,TRUE,Enterovirus,SWUN-AB001,China,Yak enterovirus,,non-human,15-Aug-2014,FALSE,FALSE,Bos grunniens,Mammal,,TRUE,ai,TRUE,FALSE,,
OM471627.1,TRUE,Aphthovirus,Asia1/PAK/ICT/184-3/2012_pro,Pakistan: Islamabad Capital Territory,Foot-and-mouth disease virus Asia 1,,non-human,09-Jul-2012,FALSE,FALSE,Bubalus bubalis,Mammal,"Islamabad Capital Territory, Pakistan",TRUE,ai,TRUE,FALSE,,
MF497826.1,TRUE,Parvoviridae,GX13-80,China,Bamboo rat parvovirus,,non-human,04-Dec-2013,FALSE,FALSE,Rhizomys pruinosus,Mammal,"Unknown, China",TRUE,ai,TRUE,FALSE,,
